id	rubro	nombre	telefono	wp	direccion	envios	whatapp	contacto	geotag	asignado	
1	Pollerías	Don Gallo	 435-0972		Av. Camino del Perú 120	si	no	google		Carolina	
15	Comidas	Naturina	415-4644			si	no	sofia			
20	Farmacias	Farmacia Galenica	425-0348		Av. Aconquija 2177	no-atiende	no	google		Carolina	Farmacia Farmacia Galenica
21	Farmacias	Farmacia Del Pueblo	425-1040		Av. Aconquija 1336	no-atiende	no	google		Carolina	Farmacia Farmacia Del Pueblo
22	Farmacias	Farmacia Lima	425-2022		Venezuela 68	no-atiende	no	google		Hernan	Farmacia Farmacia Lima
23	Farmacias	Farmacia América VI	435-6481		Av. Aconquija 283	no-atiende	no	google		Hernan	Farmacia Farmacia América VI
31	Carnicerías	Finca San Ramon	230-7030		Bascary 291	si	no	roxana	-26.810941, -65.287040		
33	Pollerías	El Buen Pollo	300-9163		Paraguay 757	no-atiende	no	google		Susana	
34	Helados	Wollen swiss ice cream	301-9446			si	no	luciana			
37	Pollerías	Tres Mas	307-1666		Patricias Argentinas 1247	no-atiende	no	google		Valeria	
38	Veterinarias	El Pucara	307-2614		Av. Solano Vera 950	no-atiende	no	google		Sofia	
39	Veterinarias	Dra. Cecilia Masi Elizalde	318-7211		Martín Fierro 151	no-atiende	no	google		Valeria	
42	Carnicerías	Ezequiel	348-9899		Batalla de Tucumán 1371	no-atiende	no	google		Valeria	
44	Verdulerías	La familia	353-4293		Av. Aconquija 2322	si	no	luz			
45	Librerías	Origami CKC	354-3002		Pringles 1192	no-atiende	no	google		Marcelo	
46	Verdulerías	Pedro Veglia verduras para Countries	361-1943			si	no	sofia			
48	Pollerías	Lo de Milo	402-8983		Bolivia 534	no-atiende	no	google		Marcelo	
49	Comidas	Billy Bob Burges	405-0704			si	no	sofia			
50	Peluquería	Club Capelli	464-7103		Av. Aconquija y Lobo de la vega	si	no	roxana			
52	Veterinarias	San Miguel	423-3673		Av. Mate de Luna 3448	no-atiende	no	google		Valeria	
53	Librerías	Mercería Molina	425-0188		Av. Solano Vega 141	no-atiende	no	google		Luciana	
54	Panaderías	Riquisima	425-0198		Av. Solano Vera 950	no	no	google		Susana	
55	Verdulerías	Gustavo	425-0256		Av. Aconquija 1389	no-atiende	no	google		Roxana	
56	Comidas	La Pizzada	425-0303		Av. Aconquija 1513	si	no	sofia			
57	Farmacias	Farmacia Del estero	435-3024		Av. Aconquija 810	si	no	google		Luciana	Farmacia Farmacia Del estero
58	Veterinarias	Mundo Mascota	425-0882		Diego de Villarroel 1890	si	no	google		Susana	
59	Farmacias	Farmacia Del Inca	435-2039		Av. Camino del Perú 212	no-atiende	no	google		Marcelo	Farmacia Farmacia Del Inca
60	Farmacias	Farmacia La Botica	431-5065		Cariola 42	no-atiende	no	google		Pia	Farmacia Farmacia La Botica
61	Verdulerías	El Gaucho	425-1121		Av. Aconquija 2030	no-atiende	no	google	-26.812373, -65.299649	Luciana	
62	Farmacias	Farmacia Del Pueblo	425-1040		Av. Aconquija 1812	no-atiende	no	google		Roxana	Farmacia Farmacia Del Pueblo
